601AL001123 6140000848430370980HOOVER                  ALA   060106160A001A29FB 29MB 12WI60 000000
602AZ002009B8140000510160028161COCHISE                 ARIZ  011010140A001C39MWN31MWH12ST81A000001                                                  50MWN12ST81A
602AZ002009B8140000510160028161COCHISE                 ARIZ  070121150A001A74MWN60MWN12AQ40 000000
602AZ002009B8140000510160028161COCHISE                 ARIZ  090326150A001A32MWN26MWN12AQ03 000000
602AZ002009B8140000510160028161COCHISE                 ARIZ  090326150A002B25MWN00UUU11UN18 000000
602AZ003009B8140000542760032751COCONINO                ARIZ  020410150A001A84MWN73MWN11UN99 000000
602AZ003009B8140000542760032751COCONINO                ARIZ  050410150A001C56MWN35MIN85UN99 000001                                                  51MIN85UN99
602AZ003009B8140000542760032751COCONINO                ARIZ  080410150B001A30MWN32MWN90UN59 000000
602AZ003009B8140000542760032751COCONINO                ARIZ  110731151A001A62FWN71MWN12UN99 000000
602AZ003013 8140000694900032750FLAGSTAFF               ARIZ  021015140A001A52FWN18MWN40MO99 000000
602AZ003013 8140000694900032750FLAGSTAFF               ARIZ  041113140A001A38MWH54MWU12AQ44 000000
602AZ003013 8140000694900032750FLAGSTAFF               ARIZ  120410150A001A24MWN28MWN12ST45 000000
602AZ003086 8140000073280032751PAGE                    ARIZ  051120140A001A28MIN24MUU20OF42 000000
602AZ003086 8140000073280032751PAGE                    ARIZ  060114150A001A33MIN36MWN20FR99 000000
602AZ004065 814000015238004   0PAYSON                  ARIZ  051120140B001A02MWN77MWN12AQ52 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  011010140A001A24MWN24MWN12FR44 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  011010140A002A50MWN20MWN30OK99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  021015140A001A34MWH23MWH12FR45 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  021015140A002A27MBN21MWH12AQ45 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  041113140A001A31MWH27MWH30OK99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  041113140A002B24FWN00UUU90UN99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  041113140A003A51MWN25MWH12UN99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  041113140A004C28MWH43MWN12ST81A000001                                                  42MWN12ST81A
602AZ007009A8140004086480076621MARICOPA                ARIZ  060114150A001A69MWN41MWN15SF45 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  060114150A002A19FWH21MWH12GF45 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  070731151A002A27MWN34MWN90AQ99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  070731151A003A26MWN53MWN12ST81B000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  080205150A001B42MWN00UUU65UN99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  080205150A002A59MWN36MWN12ST26 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  080205150A003B35MWN00UUU12UN99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  100227150A001A27MWN34MWN11AQ99 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  100227150A002A23MWN48MWN12AQ44 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  100227150A003A21MWH35FWN12OK81F000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  110313150A001B52MWH00UUU40UN48 000000
602AZ007009A8140004086480076621MARICOPA                ARIZ  120410150A001A15FWH17MWN12GF45 000000
602AZ007013 8140000794720076620AVONDALE                ARIZ  080205150B001B03FBN00UUU90UN59 000000
602AZ007013 8140000794720076620AVONDALE                ARIZ  100227150A001A43MWH38MWN12ST81B000000
602AZ007033 8140000581260076620BUCKEYE                 ARIZ  031023140A001A49MUU25MWN12ST45 000000
602AZ007051C8140002523690076620CHANDLER                ARIZ  020114150A001A35MIN25MWN12ST45 000000
602AZ007074 8140000333070076621EL MIRAGE               ARIZ  010114150B001A24FWH31MWH80GF59 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  011010140A001A45MWN16FWN80BF60 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  021015140A001C43MWN00MWN12OK81B000001                                                  00MWH12OK81B
602AZ007132 8140002367800076620GLENDALE                ARIZ  021015140A002A36MWN31MWH20AQ45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  031023140A001A31MWN25MWN12ST45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  041120140A001A22MBN31MBN12AQ03 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  060114150A001B24MWN00UUU20UN99 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  060114150A002A29MBN28MBN12AQ45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  060114150A003B53MWH00UUU30UN99 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  060114150A004A72MWN24MWN12ST03 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  071211151A001A22FWH25MIN12GF45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  071211151A002ABBMBH20MBN40SO41 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  071211151A003A18MBN24MBN12AQ80E000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  090313150A001A25FWN29MWN12GF45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  090313150A002B59MWN00UUU20UN99 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  100313150A001A20MWH29MWH40SO41 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  110313150A001A41MWN27MWN12AQ44 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  110313150A002B42MWN00UUU40UN45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  110313150A003A45FWN58MWN12WI45 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  110313150A004A23MWH51MWH12ST60 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  120410150A001B53MWH00UUU12UN99 000000
602AZ007132 8140002367800076620GLENDALE                ARIZ  120410150A002B53MBN00UUU12UN99 000000
602AZ007153 8140000748260076620GOODYEAR                ARIZ  060114150A001A19MWH23MBN12UN18 000000
602AZ007153 8140000748260076620GOODYEAR                ARIZ  080205150A001A01FBN28FBN75DA60 000000
602AZ007171C8140004620920076620MESA                    ARIZ  011010140A001A22MWN21MBN13AQ99 000000
602AZ007171C8140004620920076620MESA                    ARIZ  021015140A001A54MWN20FWH20AQ05 000000
602AZ007171C8140004620920076620MESA                    ARIZ  021015140A002A26MIN48MBN20AQ99 000000
602AZ007171C8140004620920076620MESA                    ARIZ  031023140A001B50MWH00UUU20UN99 000000
602AZ007171C8140004620920076620MESA                    ARIZ  041113140A001A22FWH22MWH12GF60 000000
602AZ007171C8140004620920076620MESA                    ARIZ  041113140A002A12FWN45FWN85DA60 000000
602AZ007171C8140004620920076620MESA                    ARIZ  041113140A003A32MWN36MWN13ST81E000000
602AZ007171C8140004620920076620MESA                    ARIZ  060114150A001A22MIN25MIN12AQ42 000000
602AZ007171C8140004620920076620MESA                    ARIZ  070121150A001A20MIN30MIN30FR45 000000
602AZ007171C8140004620920076620MESA                    ARIZ  080205150A001A29MWH22MWH11ST99 000000
602AZ007171C8140004620920076620MESA                    ARIZ  090326150A001A87FWN63MWN30MO99 000000
602AZ007171C8140004620920076620MESA                    ARIZ  100227150A001CBBFBN17FBN40DA60 000003                                                  17MBN40DA60 21FBN40OF60 48FBN40OF60
602AZ007171C8140004620920076620MESA                    ARIZ  100227150A002A40FWN33MWN90GF99 000000
602AZ007171C8140004620920076620MESA                    ARIZ  100227150B003A55MWN42MWN30AQ53 000000
602AZ007171C8140004620920076620MESA                    ARIZ  120410150A001B20MWH00UUU12UN60 000000
602AZ007195 8140000135370076621PARADISE VALLEY         ARIZ  040803150A001B67MWN00UUU20UN99 000000
602AZ007212 8140001647220076620PEORIA                  ARIZ  060114150A001A42MWN38MWN12BR44 000000
602AZ007212 8140001647220076620PEORIA                  ARIZ  100227150A001A29FWN53MWN12AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A001A51FWN51MBN20AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A002A46MBN18MBN12UN03 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A003C29MWN19MWH12AQ03 000001                                                  20MWN12AQ03
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A004B27MBN00UUU11UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A005A47MBN50MBN20BR45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A006A30MWN77MWN14ST80E000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  010205150A007A01FBN20MBN30OF41 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  020205150A001A26MWH25FWH12BF45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  020205150A002A46FWH32FWH20AQ99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  020205150A003B32MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  020205150A004C21MWH39MWN12ST81A000002                                                  30MWN12ST81A50MWN12ST81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  020205150A005B54MBN00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A002A43MWN29MWN12ST26 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A003B39MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A004A16FWN15MWN12OK45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A005A45FWH53MWH30OK99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A006A12MWH27MWH20BR99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A007A26MWH46MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A008A33MWH21MWH12ST45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A009B30MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A010A27MWN23FWN13ST81D000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A011A52MWN29FWN12ST99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A012A26MBN52MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  030205150A013C54MWN18MBN12ST05 000001                                                  20MBN12ST05
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A001A66MWN23MWH30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A002B24MWH00UUU12UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A003B33MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A004B38MBN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A005A32MWN37MWN12ST81F000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A006A33FBN32MBN12WI99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A007B35MWN00UUU30UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A008C27FIN00MBN12UN99 000005                                                  00MBN12UN99 00MBN12UN99 00MBN12UN99 00FBN12UN99 00FBN12UN99
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A009B52MWN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A010A22MWN19MWN12UN80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A011A35MBN32MWN12ST80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A012A26FWN27MWH12AQ99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A013C27MWH21MWH12UN45 000001                                                  20MWH12UN45
602AZ007231A8140015298520076620PHOENIX                 ARIZ  040205150A014C47MWN18MWH12UN05 000002                                                  24MWH12UN05 21MWH12UN05
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A001B40MWN00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A002B38FWN00UUU65UN09 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A003B35MWN00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A004B29MBH00UUU11UN70 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A005A22MBN30MWH12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A006A50MWN16MWN30OF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  050114150A007A67MWH35MWH65ST05 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A001C23MBN00MUU11UN99 000001                                                  00MUU11UN99
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A002A51MBN46FBN14BF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A003C33MWH00MUU11UN18 000001                                                  00MUU11UN18
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A005A28MWN54MWN12ST05 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A006A30FWN29MWH30OK99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A007ABBFWN33MWN30SO99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A008A31MIN26MIN80UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A009B25MBN00UUU12UN46 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A010A22MBN17MWH12AQ46 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A011A19MBN19MWH20AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A012B47MBU00UUU13UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A013A24MWH19MWH12ST45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  060114150A014A25MWH25MWH12AQ45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A001A14MWH26MWH65AQ09 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A002F81MWN00UUU20UN99 00100064FWN
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A003B31MBN00UUU11UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A004A22FWH23MWH20GF45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070121150A005A22MWH39MBN11UN18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A006B29MWH00UUU12UN18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A007B33MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A008B34MWN00UUU20UN45 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A009A28MWH26MWH20BR80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A010B42MWH00UUU12UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  070731151A011B53MWH00UUU20UN05 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A001A16FWH27MWN20ST99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A002A29FWN44MWN12GF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A003A29MWN44MWN12AQ80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A004B50MWH00UUU11UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A005C23MIN32MWN12ST81A000004                                                  33FWN12ST81A33MWN12ST81A31MWN12ST81A48MWN12ST81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A006A34MWH40MWH12ST18 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A007B31MWH00UUU13UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A008A50FBN48MWN12ST81A000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A009B35MWH00UUU20UN99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A010A29MWH66MWN12ST80C000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A011C39MWH32MWN12ST81A000002                                                  33MWN12ST81A39MWN12ST81A
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A012A48FWN55MWN14GF99 000000
602AZ007231A8140015298520076620PHOENIX                 ARIZ  080326150A013B35MWH00UUU12UN45 000000
